DistCode,District,College Code,College Name,Branch,OC,BCM,BC,MBC,SCA,SC,ST
3,COIMBATORE,2338,ASIAN COLLEGE OF ENGINEERING AND TECHNOLOGY,MECHANICAL ENGINEERING,103.75,0.0,93.25,82.5,0.0,0.0,0.0
3,COIMBATORE,2338,ASIAN COLLEGE OF ENGINEERING AND TECHNOLOGY,ELECTRONICS AND COMMUNICATION ENGG.,95.25,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2338,ASIAN COLLEGE OF ENGINEERING AND TECHNOLOGY,CIVIL ENGINEERING,111.5,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2772,C M S COLLEGE OF ENGINEERING AND TECHNOLOGY,MECHANICAL ENGINEERING,99.75,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2772,C M S COLLEGE OF ENGINEERING AND TECHNOLOGY,ELECTRONICS AND COMMUNICATION ENGG.,96.75,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2772,C M S COLLEGE OF ENGINEERING AND TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGG.,121.75,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2772,C M S COLLEGE OF ENGINEERING AND TECHNOLOGY,CIVIL ENGINEERING,95.0,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2650,CHRIST THE KING ENGINEERING COLLEGE,COMPUTER SCIENCE AND ENGG.,110.25,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2650,CHRIST THE KING ENGINEERING COLLEGE,MECHANICAL ENGINEERING,95.25,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2650,CHRIST THE KING ENGINEERING COLLEGE,ELECTRONICS AND COMMUNICATION ENGG.,136.75,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2650,CHRIST THE KING ENGINEERING COLLEGE,ELECTRICAL AND ELECTRONICS ENGG.,176.0,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2650,CHRIST THE KING ENGINEERING COLLEGE,CIVIL ENGINEERING,108.25,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2704,COIMBATORE INSTITUTE OF ENGINEERING AND TECHNOLOGY,COMPUTER SCIENCE AND ENGG.,125.75,0.0,93.0,112.75,0.0,92.25,0.0
